year,sido,cases,population,crude_rate
2001,강원도,0,3104814.0,0.0
2001,경기도,4,27272736.0,0.014666661973334836
2001,경상남도,0,6213004.0,0.0
2001,경상북도,1,6599486.0,0.015152695225052375
2001,광주시,0,2767530.0,0.0
2001,대구시,0,5050218.0,0.0
2001,대전시,1,2806328.0,0.035633753431530454
2001,부산시,0,7541072.0,0.0
2001,서울시,2,20526672.0,0.009743420657766635
2001,울산시,2,2111236.0,0.09473123800465699
2001,인천시,0,5129196.0,0.0
2001,전라남도,0,4198616.0,0.0
2001,전라북도,0,5257474.0,0.0
2001,제주도,0,1093778.0,0.0
2001,충청남도,0,3836274.0,0.0
2001,충청북도,0,4178048.0,0.0
2002,강원도,0,3077440.0,0.0
2002,경기도,2,29530648.0,0.006772624833698197
2002,경상남도,0,6248836.0,0.0
2002,경상북도,0,6536822.0,0.0
2002,광주시,1,2794904.0,0.03577940422998429
2002,대구시,0,5051606.0,0.0
2002,대전시,0,2839146.0,0.0
2002,부산시,0,7460250.0,0.0
2002,서울시,0,20414590.0,0.0
2002,울산시,1,2130074.0,0.046946725794502916
2002,인천시,2,5155978.0,0.03878992501519595
2002,전라남도,0,4108408.0,0.0
2002,전라북도,0,5156662.0,0.0
2002,제주도,0,1101662.0,0.0
2002,충청남도,0,3815450.0,0.0
2002,충청북도,1,4193308.0,0.023847520859426496
2003,강원도,0,3054068.0,0.0
2003,경기도,24,30334612.0,0.07911754401210076
2003,경상남도,0,6278034.0,0.0
2003,경상북도,0,6459364.0,0.0
2003,광주시,2,2791524.0,0.07164545244819676
2003,대구시,0,5059088.0,0.0
2003,대전시,1,2864592.0,0.03490898529354268
2003,부산시,0,7382890.0,0.0
2003,서울시,11,20348172.0,0.05405891005835807
2003,울산시,2,2145734.0,0.09320819822028266
2003,인천시,0,5140388.0,0.0
2003,전라남도,4,4035460.0,0.09912128976622243
2003,전라북도,0,5146498.0,0.0
2003,제주도,1,1104594.0,0.09053100053051166
2003,충청남도,0,3825606.0,0.0
2003,충청북도,0,4209580.0,0.0
2004,강원도,3,3042750.0,0.09859502095144194
2004,경기도,9,31006886.0,0.029025810589299424
2004,경상남도,1,6287628.0,0.015904248788255283
2004,경상북도,4,6406092.0,0.062440564387773394
2004,광주시,82,2802344.0,2.926121846568444
2004,대구시,1,5049424.0,0.019804239057761835
2004,대전시,1,2886942.0,0.034638728453844934
2004,부산시,0,7332690.0,0.0
2004,서울시,2,20346324.0,0.009829785468864056
2004,울산시,1,2162906.0,0.04623409431570304
2004,인천시,1,5157634.0,0.01938873522239073
2004,전라남도,2,3972384.0,0.05034759982922094
2004,전라북도,0,5058428.0,0.0
2004,제주도,1,1110724.0,0.0900313669282378
2004,충청남도,2,3906812.0,0.05119263481324415
2004,충청북도,0,4226466.0,0.0
2005,강원도,0,3026220.0,0.0
2005,경기도,5,32966668.0,0.01516683457363662
2005,경상남도,2,6320862.0,0.03164125399352177
2005,경상북도,1,6391086.0,0.01564679304894348
2005,광주시,14,2803490.0,0.499377561539367
2005,대구시,3,5022612.0,0.05972987760153482
2005,대전시,4,2909276.0,0.13749125211908392
2005,부산시,1,7276586.0,0.013742708462457532
2005,서울시,4,20334688.0,0.019670820619426273
2005,울산시,0,2175296.0,0.0
2005,인천시,3,5200990.0,0.057681326055231796
2005,전라남도,1,3934410.0,0.02541677151084915
2005,전라북도,1,5014168.0,0.01994348813202908
2005,제주도,1,1115138.0,0.08967499986548749
2005,충청남도,1,3925292.0,0.025475811735789337
2005,충청북도,0,4239484.0,0.0
2006,강원도,1,3010840.0,0.0332133225279324
2006,경기도,8,33599328.0,0.023810000009524
2006,경상남도,2,6345714.0,0.0315173359530543
2006,경상북도,3,6387170.0,0.0469691584849002
2006,광주시,2,2815596.0,0.07103291807489427
2006,대구시,0,4992230.0,0.0
2006,대전시,3,2932316.0,0.10230820961997275
2006,부산시,0,7223984.0,0.0
2006,서울시,2,20362332.0,0.00982205770930363
2006,울산시,1,2184988.0,0.045766841740091935
2006,인천시,5,5248782.0,0.09526019560347525
2006,전라남도,3,3885850.0,0.07720318591813889
2006,전라북도,0,4986428.0,0.0
2006,제주도,5,1116992.0,0.4476307798086289
2006,충청남도,1,3948866.0,0.02532372584939575
2006,충청북도,0,4242476.0,0.0
2007,강원도,0,3007612.0,0.0
2007,경기도,8,34092560.0,0.023465530309252226
2007,경상남도,4,6393906.0,0.06255956843907308
2007,경상북도,2,6373838.0,0.03137826847811319
2007,광주시,5,2826888.0,0.17687294296767328
2007,대구시,1,4986522.0,0.0200540577179846
2007,대전시,0,2951318.0,0.0
2007,부산시,1,7174878.0,0.01393751921635462
2007,서울시,5,20385420.0,0.0245273337512791
2007,울산시,0,2199990.0,0.0
2007,인천시,2,5329152.0,0.037529423067685065
2007,전라남도,4,3859672.0,0.10363574935901289
2007,전라북도,0,4972406.0,0.0
2007,제주도,3,1118516.0,0.2682125244520418
